server,port,short_name
10.61.249.13,443,wbir-e-phillips
10.61.254.62,443,10.61.254.62
10.61.81.121,443,10.61.81.121
10.61.81.122,443,10.61.81.122
10.61.81.123,443,10.61.81.123
10.62.119.201,443,10.62.119.201
10.62.127.20,443,kskn-x2s-sec
10.62.160.21,443,10.62.160.21
10.62.160.25,443,10.62.160.25
10.62.168.32,443,10.62.168.32
10.62.168.33,443,10.62.168.33
10.62.168.34,443,10.62.168.34
10.62.19.59,443,10.62.19.59
10.62.251.21,443,10.62.251.21
10.62.251.23,443,10.62.251.23
10.62.26.10,443,10.62.26.10
10.62.95.23,443,15044450
10.62.95.24,443,15044502
10.62.95.26,443,14559150
10.80.48.101,443,10.80.48.101
10.9.1.31,443,wusa-sccm02
10.9.5.21,443,10.9.5.21
10.9.5.22,443,10.9.5.22
10.9.5.23,443,10.9.5.23
10.9.5.25,443,10.9.5.25
10tv.com,443,10tv.com
11alive.com,443,11alive.com
12news.com,443,12news.com
12newsnow.com,443,12newsnow.com
13newsnow.com,443,13newsnow.com
13wmaz.com,443,13wmaz.com
167.8.100.208,443,167.8.100.208
167.8.100.210,443,167.8.100.210
167.8.101.200,443,167.8.101.200
167.8.101.208,443,167.8.101.208
167.8.111.135,443,167.8.111.135
167.8.114.59,443,167.8.114.59
167.8.31.200,443,167.8.31.200
167.8.35.40,443,167.8.35.40
167.8.49.31,443,167.8.49.31
172.17.0.147,443,172.17.0.147
172.17.0.33,443,raritan1
172.17.0.52,443,raritan2
172.22.0.107,443,awe-web02-dv
172.22.0.178,443,awe-web02-pd
172.22.0.56,443,awe-bsw02-pd
172.26.0.100,443,eit-prisccmdp02
172.26.0.119,443,eit-priexhyb01
172.26.0.120,443,eit-priexhyb02
172.26.0.140,443,iad-lrsprt01
172.26.0.142,443,tgna-lrs-gateway
172.26.0.150,443,eit-prirdsbr01
172.26.0.163,443,eit-priprt06-pd
172.26.0.178,443,iad-win-doc01
172.26.0.186,443,iad-sweb01
172.26.0.191,443,eit-priaddc01-rm
172.26.0.24,443,iad-arxscan01
172.26.0.30,443,eit-priadmgr01
172.26.0.32,443,eit-enpsreport01
172.26.0.57,443,eit-mocappki01
172.26.0.62,443,eit-priawacc01
172.26.0.67,443,eit-mocsmutil02
172.26.0.72,443,eit-priexap02
172.26.0.75,443,eit-prismutil01
172.26.0.80,443,eit-prismts02
172.26.0.90,443,eit-mocsccm01
172.26.0.92,443,eit-mocsccm03
172.26.0.93,443,eit-mocsccm04
172.26.0.94,443,iad-opsbr01
172.26.15.40,443,iad-ftp02
172.26.17.200,443,eit-prijwutil01
172.26.182.108,443,cmch-drxferweb1
172.26.182.30,443,cmch-drsmutil01
172.26.190.204,443,dcmia4bf0171eeeb
172.26.190.205,443,172.26.190.205
172.26.190.206,443,dcmia4bf016f063d
172.26.190.213,443,172.26.190.213
172.26.190.71,443,eit-drecndctr01-rm
172.26.190.72,443,eit-drecndctr02-rm
172.26.190.73,443,eit-drencdr01-rm
172.26.190.74,443,eit-drencdr02-rm
172.26.190.75,443,eit-drencdr03-rm
172.26.190.76,443,eit-drencdr04-rm
172.26.190.85,443,eit-drencdr05-rm
172.26.190.86,443,eit-drencdr06-rm
172.26.190.87,443,eit-drencdr07-rm
172.26.58.205,443,dcmia4bf016e9422
172.26.58.206,443,dcmia4bf017197b2
172.26.58.208,443,dcmia4bf016a0e9a
172.26.58.212,443,dcmia4bf016f089e
172.26.58.23,443,cmch-prisql01-rm
172.26.58.29,443,eit-priprtg04-rm
172.26.58.71,443,eit-priecndctr01-rm
172.26.58.73,443,eit-priencdr01-rm
172.26.58.74,443,eit-priencdr02-rm
172.26.58.75,443,eit-priencdr03-rm
172.26.58.76,443,eit-priencdr04-rm
172.26.58.85,443,eit-priencdr05-rm
172.26.58.86,443,eit-priencdr06-rm
172.26.58.87,443,eit-priencdr07-rm
172.26.58.88,443,eit-priencdr08-rm
172.26.60.5,443,eit-pridamgr01
172.26.60.8,443,eit-pridafs01
192.168.1.1,443,wusa-mediaproxy
192.168.1.2,443,krem-mediaproxy
5newsonline.com,443,5newsonline.com
9news.com,443,9news.com
abc10.com,443,abc10.com
adaudit.tgna.tegna.com,443,adaudit
admanager.tgna.tegna.com,443,admanager
anythingyousaypodcast.com,443,anythingyousaypodcast.com
apps.tegna.com,443,apps
awe-axonius01.tgna.tegna.com,443,awe-axonius01
awe-web02-dv.tgna.tegna.com,443,awe-web02-dv
awe-web02-pd.tgna.tegna.com,443,awe-web02-pd
aws-quic-poc.tgna.tegna.com,443,aws-quic-poc
bardstownpodcast.com,443,bardstownpodcast.com
BCIRV-OASIS.tgna.tegna.com,443,BCIRV-OASIS
bomberpodcast.com,443,bomberpodcast.com
bomgar.tegna.com,443,bomgar
captive-portal.tegna.com,443,captive-portal
